name,position,scale,count,url
路博迈基金管理(中国)有限公司,中国上海市静安区石门一路288号香港兴业中心2座705-710室,---,2,www.nbchina.com
摩根士丹利华鑫基金管理有限公司,深圳市福田区中心四路1号嘉里建设广场一期二座17楼,242.66亿元,55,www.msfunds.com.cn
民生加银基金管理有限公司,深圳市福田区福中三路2005号民生金融大厦13楼13A,1238.65亿元,148,www.msjyfund.com.cn
明亚基金管理有限责任公司,深圳市前海深港合作区南山街道前海大道前海嘉里商务中心四期T1写字楼1804、1803B,0.39亿元,2,www.mingyafunds.com
诺德基金管理有限公司,上海市浦东新区富城路99号震旦国际大楼18层,386.61亿元,51,www.nuodefund.com
南华基金管理有限公司,杭州市上城区横店大厦801室,116.76亿元,23,www.nanhuafunds.com
农银汇理基金管理有限公司,上海市浦东新区银城路9号农银大厦50层,1738.48亿元,95,www.abc-ca.com
诺安基金管理有限公司,深圳市福田区深南大道4013号兴业银行大厦19-20层,1550.34亿元,96,www.lionfund.com.cn
南方基金管理股份有限公司,广东省深圳市福田区莲花街道益田路5999号基金大厦32-42楼,10405.85亿元,562,www.nffund.com
南京证券股份有限公司,江苏省南京市江东中路389号,2.49亿元,1,www.njzq.com.cn
平安证券股份有限公司,深圳市福田区福田街道益田路5023号平安金融中心B座第22-25层,155.51亿元,5,stock.pingan.com
鹏华基金管理有限公司,深圳市福田区福华三路168号深圳国际商会中心第43层,8644.92亿元,453,www.phfund.com.cn
鹏扬基金管理有限公司,北京市西城区复兴门外大街A2号西城金茂中心16层,902.47亿元,137,www.pyamc.com
平安基金管理有限公司,深圳市福田区福田街道益田路5033号平安金融中心34层,5009.76亿元,312,www.fund.pingan.com
浦银安盛基金管理有限公司,上海市浦东新区滨江大道5189号S2座1-7层,3020.13亿元,184,www.py-axa.com
前海开源基金管理有限公司,深圳市福田区深南大道7006号万科富春东方大厦2206-2209室,1181.54亿元,158,www.qhkyfund.com
泉果基金管理有限公司,上海市浦东新区南洋泾路555号陆家嘴金融街区19号楼,98.47亿元,2,www.qgfund.com
新疆前海联合基金管理有限公司,深圳市南山区桂湾四路197号前海华润金融中心T1栋第28和29层,189.19亿元,55,www.qhlhfund.com
融通基金管理有限公司,深圳市南山区华侨城汉唐大厦13、14、15层,1231.98亿元,131,www.rtfund.com
中国人保资产管理有限公司,上海市浦东新区世纪大道1198号世纪汇广场1座21层,93.55亿元,37,www.piccamc.com
睿远基金管理有限公司,上海市浦东新区芳甸路1155号浦东嘉里城办公楼42‐43楼,524.76亿元,6,www.foresightfund.com
瑞达基金管理有限公司,上海市浦东新区福山路500号城建国际大厦2508-2510,1.04亿元,6,www.ruidaamc.com
申万菱信基金管理有限公司,上海市中山南路100号上海金外滩国际广场11层,746.92亿元,136,www.swsmu.com
上投摩根基金管理有限公司,中国(上海)自由贸易试验区富城路99号震旦国际大楼25层,1309.43亿元,159,"www.cifm.com,www.51fund.com"
上海证券有限责任公司,上海市黄浦区四川中路213号久事商务大厦7楼,1.04亿元,3,www.shzq.com
上银基金管理有限公司,上海市浦东新区世纪大道1528号(竹林路101号)陆家嘴基金大厦9楼,1319.80亿元,79,www.boscam.com.cn
尚正基金管理有限公司,深圳市福田区华富街道莲花一村社区皇岗路5001号深业上城(南区)T2栋703-708,20.46亿元,10,www.toprightfund.com
山西证券股份有限公司,山西省太原市府西街69号山西国际贸易中心东塔楼,183.41亿元,30,www.sxzq.com
申万宏源证券有限公司,上海市徐汇区长乐路989号45层,168.38亿元,10,www.swhysc.com/swhysc/
上海海通证券资产管理有限公司,上海市黄浦区广东路689号第32层第01-12室单元,101.57亿元,38,www.htsec.com
上海光大证券资产管理有限公司,上海市静安区新闸路1508号17层,253.44亿元,38,www.ebscn-am.com
上海国泰君安证券资产管理有限公司,上海市静安区新闸路669号博华大厦22-23层及25层,429.12亿元,59,www.gtjazg.com
太平基金管理有限公司,上海市浦东新区银城中路488号太平金融大厦7楼,593.58亿元,45,www.taipingfund.com.cn
天弘基金管理有限公司,天津市河西区马场道59号天津国际经济贸易中心A座16层,10624.94亿元,312,www.thfund.com.cn
泰达宏利基金管理有限公司,北京市朝阳区针织路23号楼中国人寿金融中心6层02-07单元,725.04亿元,100,www.mfcteda.com
太平洋证券股份有限公司,云南省昆明市北京路926号同德广场写字楼31楼,32.98亿元,3,www.tpyzq.com
泰信基金管理有限公司,上海市浦东新区浦东南路256号华夏银行大厦36-37层,361.22亿元,51,www.ftfund.com
